Country,Series Name,1970s,1980s,1990s,2000s,2010s,2020s,Outcome
Finland,Headline Consumer Price Inflation,10.277,7.184,2.183,1.703,1.3140000000000003,3.1933333333333334,0
Fiji,Headline Consumer Price Inflation,10.625,7.456,4.188000000000001,3.415,3.228,0.6933333333333332,0
France,Headline Consumer Price Inflation,8.905000000000001,7.384,1.8689999999999998,1.7289999999999999,1.149,2.44,0
"Micronesia, Fed. Sts.",Headline Consumer Price Inflation,1.9200000000000004,1.9200000000000004,2.054,3.0890000000000004,1.9129999999999996,2.7866666666666666,0
Gabon,Headline Consumer Price Inflation,11.062000000000001,6.372000000000001,4.648,1.1199999999999999,2.178,2.226666666666667,0
United Kingdom,Headline Consumer Price Inflation,12.641000000000002,7.169,3.6160000000000005,1.9309999999999998,2.085,3.796666666666667,0
Georgia,Headline Consumer Price Inflation,6.04,6.04,1986.3259999999996,6.313000000000001,3.694,8.89,1
Ghana,Headline Consumer Price Inflation,38.83500000000001,48.249,27.552000000000003,17.933999999999997,11.259,17.28,0
Guinea,Headline Consumer Price Inflation,6.315,33.736000000000004,9.342,15.558000000000002,11.818,11.973333333333334,0
"Gambia, The",Headline Consumer Price Inflation,9.626000000000001,17.233,5.425000000000001,6.6659999999999995,6.1709999999999985,8.203333333333333,0
Guinea-Bissau,Headline Consumer Price Inflation,9.288,57.854,37.455,3.125,1.366,3.4166666666666665,0
Equatorial Guinea,Headline Consumer Price Inflation,10.421,24.847,6.625000000000002,5.601999999999999,2.718,3.2733333333333334,0
Greece,Headline Consumer Price Inflation,12.343,19.474,11.112,3.158,0.703,3.19,0
Grenada,Headline Consumer Price Inflation,18.646,6.561,2.6659999999999995,2.865,1.1320000000000001,0.5666666666666667,0
Guatemala,Headline Consumer Price Inflation,8.345,11.520999999999999,15.275000000000002,7.0280000000000005,4.0329999999999995,4.786666666666666,0
Guyana,Headline Consumer Price Inflation,9.245,27.839999999999996,24.987,6.163,1.8950000000000002,3.8766666666666665,0
"Hong Kong SAR, China",Headline Consumer Price Inflation,3.5900000000000007,7.427000000000001,6.872,-0.1490000000000001,3.2589999999999995,1.26,0
Honduras,Headline Consumer Price Inflation,6.583,7.406999999999999,19.747999999999998,8.238,4.645999999999999,5.68,0
Croatia,Headline Consumer Price Inflation,3.625,183.1425,300.1460000000001,3.1719999999999997,1.0530000000000002,4.536666666666666,0
Haiti,Headline Consumer Price Inflation,9.254999999999999,6.745,20.899,15.009,9.487,21.853333333333335,0
Hungary,Headline Consumer Price Inflation,3.7920000000000003,8.962,22.242,6.1290000000000004,2.4900000000000007,7.68,0
Indonesia,Headline Consumer Price Inflation,16.902,9.631,14.550999999999998,8.45,4.729,2.563333333333333,0
India,Headline Consumer Price Inflation,7.539,9.207999999999998,9.547,5.532,7.1450000000000005,6.066666666666666,0
Ireland,Headline Consumer Price Inflation,12.751999999999999,9.338,2.323,3.1600000000000006,0.537,3.276666666666667,0
"Iran, Islamic Rep.",Headline Consumer Price Inflation,10.998000000000001,19.794,23.945,14.733,20.593,40.776666666666664,0
Iraq,Headline Consumer Price Inflation,9.356,7.489999999999999,139.61999999999998,22.281,2.069,3.9166666666666665,0
Iceland,Headline Consumer Price Inflation,29.394,39.427,4.247999999999999,6.239,3.128,5.196666666666667,0
Israel,Headline Consumer Price Inflation,32.477000000000004,130.042,11.239999999999998,2.007,1.064,1.7666666666666668,0
Italy,Headline Consumer Price Inflation,12.289,11.205,4.157,2.2710000000000004,1.1860000000000002,3.31,0
Jamaica,Headline Consumer Price Inflation,16.85,15.527999999999997,27.834999999999997,11.013,6.2700000000000005,7.146666666666666,0
Jordan,Headline Consumer Price Inflation,10.633,7.0409999999999995,5.072000000000001,3.6910000000000003,2.811,1.97,0
Japan,Headline Consumer Price Inflation,9.091,2.5300000000000002,1.2109999999999999,-0.255,0.46699999999999997,0.75,0
Kazakhstan,Headline Consumer Price Inflation,8.0,8.0,674.817,9.27,7.300999999999999,9.913333333333334,0
Kenya,Headline Consumer Price Inflation,10.919,12.348,16.964999999999996,8.519,7.089,6.390000000000001,0
Kyrgyz Republic,Headline Consumer Price Inflation,6.92,6.92,135.329,8.729000000000001,5.4270000000000005,10.72,0
Cambodia,Headline Consumer Price Inflation,52.525,9.803999999999998,57.51899999999999,4.846,3.0759999999999996,3.9766666666666666,0
Kiribati,Headline Consumer Price Inflation,3.0,4.867,3.476,3.617,-0.328,3.6933333333333334,0
St. Kitts and Nevis,Headline Consumer Price Inflation,14.532,4.776000000000001,3.522,3.4549999999999996,0.582,1.13,0
"Korea, Rep.",Headline Consumer Price Inflation,15.225999999999999,8.404,5.734,3.114,1.721,2.7099999999999995,0
Kuwait,Headline Consumer Price Inflation,8.622,3.589,3.664,2.966,2.7600000000000002,2.8000000000000003,0
Lao PDR,Headline Consumer Price Inflation,25.086,61.289,28.661,7.8870000000000005,3.717,10.616666666666667,0
Lebanon,Headline Consumer Price Inflation,12.645999999999999,96.58000000000001,28.354000000000003,2.4859999999999998,3.107,136.94,0
Liberia,Headline Consumer Price Inflation,8.8,7.514999999999999,1.2800000000000002,9.826999999999998,11.96,8.873333333333333,0
Libya,Headline Consumer Price Inflation,5.1,8.873,6.223,0.07699999999999987,9.7,10.183333333333334,0
St. Lucia,Headline Consumer Price Inflation,13.388,5.756,3.1350000000000002,2.803,1.375,3.0400000000000005,0
Sri Lanka,Headline Consumer Price Inflation,6.8870000000000005,12.828999999999999,11.251,9.778000000000002,5.098999999999999,21.19666666666667,0
Lesotho,Headline Consumer Price Inflation,13.879000000000001,14.229,10.934000000000001,7.289999999999999,4.853,6.446666666666668,0
Lithuania,Headline Consumer Price Inflation,2.68,1.5180000000000002,201.50799999999998,3.018,1.8380000000000003,8.526666666666666,0
Luxembourg,Headline Consumer Price Inflation,6.502,4.797000000000001,2.1710000000000003,2.3400000000000003,1.675,3.2166666666666663,0
Latvia,Headline Consumer Price Inflation,3.28,3.28,116.12100000000001,5.852,1.462,6.933333333333334,0
"Macao SAR, China",Headline Consumer Price Inflation,2.5599999999999996,2.5599999999999996,1.984,1.81,4.017,0.63,0
Morocco,Headline Consumer Price Inflation,7.7909999999999995,7.5760000000000005,4.465999999999999,1.9129999999999998,1.151,2.9233333333333333,0
Moldova,Headline Consumer Price Inflation,9.64,9.64,249.288,11.982000000000003,5.969,12.54,0
Madagascar,Headline Consumer Price Inflation,7.898999999999999,18.572000000000003,17.151000000000003,10.501999999999999,7.160000000000001,6.6066666666666665,0
Maldives,Headline Consumer Price Inflation,12.666,7.432999999999998,8.928,3.3299999999999996,4.186999999999999,0.45,0
Mexico,Headline Consumer Price Inflation,14.694999999999999,69.04899999999999,20.407000000000004,5.2139999999999995,3.9620000000000006,5.663333333333334,0
Marshall Islands,Headline Consumer Price Inflation,1.8500000000000003,1.8500000000000003,1.8500000000000003,3.596,1.2649999999999997,3.206666666666667,0
"Macedonia, FYR",Headline Consumer Price Inflation,3.2299999999999995,185.836,270.58400000000006,2.6900000000000004,1.4280000000000002,6.21,0
Mali,Headline Consumer Price Inflation,13.841999999999999,5.957000000000001,4.126,2.5740000000000003,1.0190000000000001,4.786666666666666,0
Malta,Headline Consumer Price Inflation,5.56,2.2779999999999996,3.136,2.6249999999999996,1.403,2.7633333333333336,0
Myanmar,Headline Consumer Price Inflation,10.863999999999999,10.087,25.895,20.137999999999998,6.069999999999999,9.296666666666667,0
Montenegro,Headline Consumer Price Inflation,3.1000000000000005,3.1000000000000005,3.1000000000000005,10.538,1.611,5.066666666666667,0
Mongolia,Headline Consumer Price Inflation,8.210000000000003,8.210000000000003,89.28399999999999,9.05,8.112,8.646666666666667,0
Mozambique,Headline Consumer Price Inflation,6.840000000000001,41.81099999999999,33.532,11.07,7.587000000000001,6.533333333333334,0
Mauritania,Headline Consumer Price Inflation,9.942999999999998,8.231,6.382,6.260000000000001,3.436,4.42,0
Mauritius,Headline Consumer Price Inflation,10.982,11.19,7.614000000000002,5.964,2.967,5.793333333333333,0
Malawi,Headline Consumer Price Inflation,8.969,17.038999999999998,30.532,10.292,16.211,12.14,0
Malaysia,Headline Consumer Price Inflation,5.4990000000000006,3.6380000000000003,3.7009999999999996,2.198,2.141,1.5733333333333333,0
Namibia,Headline Consumer Price Inflation,10.616,13.117,11.397,7.681,5.182,3.97,0
Niger,Headline Consumer Price Inflation,10.35,4.088,5.016,3.169,0.3849999999999999,3.61,0
Nigeria,Headline Consumer Price Inflation,18.973000000000003,20.726000000000003,30.599000000000007,12.334999999999999,11.797,16.349999999999998,0
Nicaragua,Headline Consumer Price Inflation,19.573,2703.233,321.602,8.982000000000001,5.558000000000001,6.359999999999999,1
Netherlands,Headline Consumer Price Inflation,7.033000000000001,2.8669999999999995,2.4430000000000005,2.1239999999999997,1.6159999999999997,4.6499999999999995,0
Norway,Headline Consumer Price Inflation,8.35,8.339,2.448,2.084,2.1090000000000004,3.5233333333333334,0
Nepal,Headline Consumer Price Inflation,7.816999999999998,10.639999999999999,9.841999999999999,5.542,7.673,4.97,0
Nauru,Headline Consumer Price Inflation,1.6,1.6,1.6,6.5009999999999994,2.1860000000000004,1.3633333333333333,0
New Zealand,Headline Consumer Price Inflation,11.494000000000002,11.866,2.114,2.684,1.5759999999999998,3.9766666666666666,0
Oman,Headline Consumer Price Inflation,6.720000000000001,1.89,1.6010000000000002,2.565,1.611,1.1533333333333333,0
Pakistan,Headline Consumer Price Inflation,11.738999999999999,7.459999999999999,9.75,7.842999999999999,7.167999999999999,13.036666666666667,0
Panama,Headline Consumer Price Inflation,6.015,3.148,1.095,2.527,2.393,0.9799999999999999,0
Peru,Headline Consumer Price Inflation,26.511000000000003,472.066,796.9540000000001,2.597,2.8020000000000005,4.66,1
Philippines,Headline Consumer Price Inflation,14.473000000000003,15.181999999999999,9.222,5.277,3.2599999999999993,4.13,0
Palau,Headline Consumer Price Inflation,1.435,1.435,1.435,2.7035000000000005,2.029,4.29,0
Papua New Guinea,Headline Consumer Price Inflation,7.65,6.339,8.743,7.6309999999999985,5.079,4.82,0
Poland,Headline Consumer Price Inflation,7.978,92.902,84.21000000000001,3.5159999999999996,1.5990000000000002,7.59,0
Puerto Rico,Headline Consumer Price Inflation,1.7399999999999998,2.3979999999999997,1.8350000000000002,2.8290000000000006,1.043,1.8333333333333333,0
Portugal,Headline Consumer Price Inflation,17.556,17.318,6.178,2.6,1.176,3.02,0
Paraguay,Headline Consumer Price Inflation,11.165000000000001,20.496000000000002,16.464999999999996,8.262,4.178999999999999,5.4433333333333325,0
West Bank and Gaza,Headline Consumer Price Inflation,2.7800000000000002,2.7800000000000002,3.7669999999999995,3.9579999999999997,1.566,1.0933333333333333,0
Qatar,Headline Consumer Price Inflation,17.628,4.048,2.8850000000000002,5.696999999999999,1.2369999999999999,1.5866666666666667,0
Romania,Headline Consumer Price Inflation,0.795,3.012,122.21999999999998,16.368000000000002,2.7970000000000006,7.16,0
Russian Federation,Headline Consumer Price Inflation,0.19,1.2600000000000002,324.611,13.975000000000003,6.853,7.94,0
Rwanda,Headline Consumer Price Inflation,12.455,4.696999999999999,15.173000000000002,8.15,3.713,9.053333333333333,0
Saudi Arabia,Headline Consumer Price Inflation,12.397,0.168,1.2970000000000002,2.093,2.259,3.0033333333333334,0
Sudan,Headline Consumer Price Inflation,15.341000000000003,40.173,70.122,10.345,32.136,5861.873333333334,1
Senegal,Headline Consumer Price Inflation,9.787,6.911000000000001,4.443,2.043,0.945,4.806666666666667,0
Singapore,Headline Consumer Price Inflation,5.838,2.772,1.939,1.488,1.656,2.713333333333333,0
Solomon Islands,Headline Consumer Price Inflation,8.06,11.801,10.673,9.177,2.9770000000000003,2.1966666666666668,0
Sierra Leone,Headline Consumer Price Inflation,10.828999999999999,62.94699999999999,45.931,7.555,9.736,17.076666666666668,0
El Salvador,Headline Consumer Price Inflation,9.387,18.527,10.611,3.556,1.198,3.4333333333333336,0
San Marino,Headline Consumer Price Inflation,1.645,1.645,1.645,2.0555,1.454,1.02,0
Serbia,Headline Consumer Price Inflation,7.7,7.7,13.27,22.661,4.385000000000001,5.883333333333333,0
South Sudan,Headline Consumer Price Inflation,45.08,45.08,45.08,45.08,89.20700000000002,25.836666666666662,0
São Tomé and Principe,Headline Consumer Price Inflation,10.77,14.847,40.010000000000005,16.116000000000003,8.601,10.353333333333333,0
Suriname,Headline Consumer Price Inflation,8.776999999999997,12.904,38.053,15.763999999999996,13.068999999999999,54.379999999999995,0
Slovak Republic,Headline Consumer Price Inflation,3.6100000000000003,2.386,15.65,5.476999999999999,1.563,5.963333333333334,0
Slovenia,Headline Consumer Price Inflation,7.6850000000000005,196.1855,97.53200000000001,4.896,1.239,3.5566666666666666,0
Sweden,Headline Consumer Price Inflation,8.574,7.937,3.2909999999999995,1.474,1.1179999999999999,3.686666666666667,0
Swaziland,Headline Consumer Price Inflation,10.172999999999998,14.911000000000001,9.542,7.919,5.726999999999999,4.233333333333333,0
Seychelles,Headline Consumer Price Inflation,16.579,3.996,1.9129999999999998,9.253,2.44,5.433333333333334,0
Syrian Arab Republic,Headline Consumer Price Inflation,9.247,23.726999999999997,7.356999999999999,4.947,24.701999999999998,10.39,0
Chad,Headline Consumer Price Inflation,7.984999999999999,5.067,4.937,3.728,1.739,2.3800000000000003,0
Togo,Headline Consumer Price Inflation,9.524,5.0249999999999995,6.4799999999999995,3.066,1.3659999999999999,4.663333333333333,0
Thailand,Headline Consumer Price Inflation,8.081,5.822000000000001,4.982999999999999,2.4200000000000004,1.5899999999999999,2.1533333333333333,0
Tajikistan,Headline Consumer Price Inflation,9.455,9.455,416.8974999999999,16.519,6.671000000000001,8.393333333333333,0
Turkmenistan,Headline Consumer Price Inflation,8.099999999999998,8.099999999999998,699.6610000000001,7.6899999999999995,6.535000000000001,13.343333333333334,0
Tonga,Headline Consumer Price Inflation,9.255999999999998,9.314,4.57,8.013000000000002,2.9339999999999997,3.39,0
Trinidad and Tobago,Headline Consumer Price Inflation,11.657,11.721,6.218,6.297000000000001,4.74,2.5633333333333335,0
Tunisia,Headline Consumer Price Inflation,5.193,8.748000000000001,4.859,3.2079999999999997,4.944,6.55,0
Turkey,Headline Consumer Price Inflation,26.932,49.13,77.237,22.770999999999997,9.837,34.73,0
Tuvalu,Headline Consumer Price Inflation,2.3299999999999996,2.3299999999999996,2.3299999999999996,3.405,1.8239999999999998,3.4066666666666663,0
Tanzania,Headline Consumer Price Inflation,10.995000000000001,30.060000000000002,23.092999999999996,6.529000000000001,7.2890000000000015,3.776666666666667,0
Uganda,Headline Consumer Price Inflation,40.15,122.26100000000001,17.791999999999998,6.437,6.644,4.3999999999999995,0
Ukraine,Headline Consumer Price Inflation,0.24000000000000005,1.03,603.1179999999999,13.171000000000001,12.558,10.756666666666666,0
Uruguay,Headline Consumer Price Inflation,59.257000000000005,57.47099999999999,48.847,8.578999999999999,8.037,8.873333333333333,0
United States,Headline Consumer Price Inflation,7.095000000000001,5.553999999999999,3.0040000000000004,2.57,1.7719999999999998,4.6433333333333335,0
Uzbekistan,Headline Consumer Price Inflation,13.11,13.11,326.138,15.975,11.996,11.623333333333333,0
St. Vincent and the Grenadines,Headline Consumer Price Inflation,12.742999999999999,5.452,2.1760000000000006,2.923,0.9949999999999999,2.2600000000000002,0
"Venezuela, RB",Headline Consumer Price Inflation,6.606999999999999,23.006,47.449,20.975,8627.205,1388.1666666666667,1
Vietnam,Headline Consumer Price Inflation,20.275,168.017,21.127000000000002,6.682,6.079,2.736666666666667,0
Vanuatu,Headline Consumer Price Inflation,7.110000000000001,9.032,3.2689999999999997,2.882,1.871,3.28,0
Samoa,Headline Consumer Price Inflation,9.325,13.855,4.464999999999999,5.781000000000001,1.716,1.39,0
"Yemen, Rep.",Headline Consumer Price Inflation,9.290000000000001,6.220000000000001,39.19000000000001,10.972,17.207,38.57666666666666,0
